model_id,provider,model_type,PDCM_DR_v1.0,PDCM_DR_v2.0,PDCM_DR_v2.1,PDCM_DR_v3.0,PDCM_DR_v3.1,PDCM_DR_v4.0,PDCM_DR_v5.0,PDCM_DR_v5.1,PDCM_DR_v5.2,PDCM_DR_v5.3,PDCM_DR_v6.0,PDCM_DR_v6.1,PDCM_DR_v6.2,PDCM_DR_v6.3,PDCM_DR_v6.4,PDCM_DR_v6.5,PDCM_DR_v6.6
172845-142-t,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
172845-288-r,pdmr,pdx,62.0,62.0,50.0,50.0,47.0,47.0,47.0,47.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
174125-134-r,pdmr,pdx,,,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,58.0,58.0
174125-134-r-v1-organoid,pdmr,organoid,,,36.0,36.0,36.0,36.0,39.0,39.0,42.0,42.0,49.0,49.0,49.0,49.0,49.0,49.0,53.0
174316-266-r,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
174316-266-r-j1-pdc,pdmr,cell line,,,30.0,30.0,30.0,30.0,33.0,33.0,33.0,33.0,42.0,42.0,42.0,42.0,42.0,46.0,50.0
174941-126-t,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
175126-011-r,pdmr,pdx,52.0,52.0,50.0,50.0,47.0,47.0,47.0,47.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
175126-011-r-j3-pdc,pdmr,cell line,,,30.0,30.0,30.0,30.0,33.0,33.0,36.0,36.0,46.0,46.0,46.0,46.0,46.0,46.0,50.0
176247-063-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
176247-063-r-v1-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
176358-292-r,pdmr,pdx,56.0,56.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,58.0,58.0
176374-079-r,pdmr,pdx,56.0,56.0,54.0,54.0,50.0,50.0,50.0,50.0,54.0,54.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
179942-160-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
182917-245-r,pdmr,pdx,56.0,56.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
184893-071-t,pdmr,pdx,54.0,54.0,47.0,47.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
185487-224-t,pdmr,pdx,62.0,62.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
185487-224-t-j1-pdc,pdmr,cell line,,,30.0,30.0,30.0,30.0,33.0,33.0,36.0,36.0,46.0,46.0,46.0,46.0,46.0,46.0,50.0
185487-224-t-v1-organoid,pdmr,organoid,,,30.0,30.0,30.0,30.0,33.0,33.0,36.0,36.0,42.0,42.0,42.0,42.0,42.0,42.0,47.0
186277-243-t,pdmr,pdx,54.0,54.0,49.0,49.0,45.0,45.0,45.0,45.0,45.0,45.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0
186277-243-t-j2-pdc,pdmr,cell line,,,31.0,31.0,31.0,31.0,34.0,34.0,38.0,38.0,44.0,44.0,44.0,44.0,44.0,44.0,49.0
186413-043-r,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
188146-221-r,pdmr,pdx,56.0,56.0,50.0,50.0,47.0,47.0,47.0,47.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
188146-221-r-j1-pdc,pdmr,cell line,,,33.0,33.0,33.0,33.0,36.0,36.0,39.0,39.0,46.0,46.0,46.0,46.0,46.0,46.0,50.0
188146-221-r-v2-organoid,pdmr,organoid,,,33.0,33.0,33.0,33.0,36.0,36.0,39.0,39.0,46.0,46.0,46.0,46.0,46.0,46.0,50.0
189374-263-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
189374-263-r-v1-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
191243-178-r,pdmr,pdx,,,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
191243-178-r-v1-organoid,pdmr,organoid,,,33.0,33.0,33.0,33.0,36.0,36.0,39.0,39.0,46.0,46.0,46.0,46.0,46.0,46.0,50.0
191259-040-r,pdmr,pdx,56.0,56.0,49.0,49.0,45.0,45.0,45.0,45.0,45.0,45.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0
191741-267-r,pdmr,pdx,56.0,56.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,58.0,58.0
192522-019-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
192522-019-r-j2-pdc,pdmr,cell line,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
192522-019-r-v2-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
193399-133-r,pdmr,pdx,54.0,54.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
193523-008-r,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
193832-021-r,pdmr,pdx,56.0,56.0,54.0,54.0,50.0,50.0,50.0,50.0,54.0,54.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
194179-226-r,pdmr,pdx,,,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,58.0,58.0
194179-226-r-j1-pdc,pdmr,cell line,,,36.0,36.0,36.0,36.0,39.0,39.0,42.0,42.0,49.0,49.0,49.0,49.0,49.0,49.0,53.0
194179-226-r-v1-organoid,pdmr,organoid,,,36.0,36.0,36.0,36.0,39.0,39.0,42.0,42.0,49.0,49.0,49.0,49.0,49.0,49.0,53.0
195496-121-r,pdmr,pdx,56.0,56.0,54.0,54.0,50.0,50.0,50.0,50.0,54.0,54.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
197587-005-t,pdmr,pdx,52.0,52.0,47.0,47.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0
197837-219-t,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
197837-219-t-v1-organoid,pdmr,organoid,,,33.0,33.0,33.0,33.0,36.0,36.0,39.0,39.0,46.0,46.0,46.0,46.0,46.0,46.0,50.0
197m,mbdi,pdx,,,,,,,,,,,,,,,,,62.0
199195-117-r,pdmr,pdx,62.0,62.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
201_1a,mbdi,pdx,,,,,,,,,,,,,,,,,66.0
201_1a-cx-organoid,mbdi,organoid,,,,,,,,,,,,,,,,,60.0
201_1a_cx,mbdi,pdx,,,,,,,,,,,,,,,,,66.0
201_2a,mbdi,pdx,,,,,,,,,,,,,,,,,66.0
201_2a-cx-organoid,mbdi,organoid,,,,,,,,,,,,,,,,,60.0
201_2a_cx,mbdi,pdx,,,,,,,,,,,,,,,,,66.0
212328-146-r,pdmr,pdx,,,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
215974-263-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
215974-263-r-v1-organoid,pdmr,organoid,,,34.0,34.0,34.0,34.0,38.0,38.0,41.0,41.0,47.0,47.0,47.0,47.0,47.0,47.0,52.0
216738-123-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
