model_id,provider,model_type,PDCM_DR_v1.0,PDCM_DR_v2.0,PDCM_DR_v2.1,PDCM_DR_v3.0,PDCM_DR_v3.1,PDCM_DR_v4.0,PDCM_DR_v5.0,PDCM_DR_v5.1,PDCM_DR_v5.2,PDCM_DR_v5.3,PDCM_DR_v6.0,PDCM_DR_v6.1,PDCM_DR_v6.2,PDCM_DR_v6.3,PDCM_DR_v6.4,PDCM_DR_v6.5,PDCM_DR_v6.6
nibrx-4226,dfci-cpdm,pdx,58.0,58.0,58.0,58.0,50.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,39.0,39.0,39.0
nibrx-4244,dfci-cpdm,pdx,56.0,56.0,56.0,56.0,50.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,39.0,39.0,39.0
nibrx-4261,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,45.0,45.0
nibrx-4304,dfci-cpdm,pdx,58.0,58.0,58.0,58.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-4316,dfci-cpdm,pdx,58.0,58.0,58.0,58.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-4339,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-4347,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-4367,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-4377,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0
nibrx-4378,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-4379,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,45.0,45.0
nibrx-4412,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-4426,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-4454,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-4455,dfci-cpdm,pdx,64.0,64.0,64.0,64.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,45.0,45.0
nibrx-4484,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,45.0,45.0
nibrx-4530,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-4536,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,45.0,45.0
nibrx-4538,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-4567,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-4579,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-4644,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-4649,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-4653,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,45.0,45.0
nibrx-4664,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,45.0,45.0
nibrx-4668,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-4676,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-4797,dfci-cpdm,pdx,56.0,56.0,56.0,56.0,50.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,39.0,39.0,39.0
nibrx-4819,dfci-cpdm,pdx,58.0,58.0,58.0,58.0,50.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,39.0,39.0,39.0
nibrx-4824,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-4826,dfci-cpdm,pdx,56.0,56.0,56.0,56.0,50.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,39.0,39.0,39.0
nibrx-4829,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,45.0,45.0
nibrx-4832,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-4833,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-4836,dfci-cpdm,pdx,56.0,56.0,56.0,56.0,49.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
nibrx-4849,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-4852,dfci-cpdm,pdx,58.0,58.0,58.0,58.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-4863,dfci-cpdm,pdx,58.0,58.0,58.0,58.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-4870,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
nibrx-4886,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-4888,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,45.0,45.0
nibrx-4927,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0
nibrx-4948,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0
nibrx-4949,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-4950,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
nibrx-4970,dfci-cpdm,pdx,64.0,64.0,64.0,64.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
nibrx-5001,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
nibrx-5018,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5024,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
nibrx-5057,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
nibrx-5077,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5094,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5115,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
nibrx-5135,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
nibrx-5141,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
nibrx-5143,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,60.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
nibrx-5189,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5200,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
nibrx-5205,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,62.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0
nibrx-5213,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
nibrx-5223,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
nibrx-5238,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5249,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5254,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5267,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
nibrx-5285,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
nibrx-5307,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5355,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5367,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
nibrx-5374,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5395,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
nibrx-5405,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5415,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5421,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5438,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5439,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
nibrx-5440,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
nibrx-5441,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-5446,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5462,dfci-cpdm,pdx,52.0,52.0,52.0,52.0,45.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,33.0,33.0,33.0
nibrx-5490,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-5493,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5494,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5495,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5498,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
nibrx-5502,dfci-cpdm,pdx,58.0,58.0,58.0,58.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5510,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
nibrx-5523,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
nibrx-5532,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
nibrx-5536,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
nibrx-5541,dfci-cpdm,pdx,56.0,56.0,56.0,56.0,50.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,39.0,39.0,39.0
nibrx-5555,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
nibrx-5556,dfci-cpdm,pdx,56.0,56.0,56.0,56.0,49.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
nibrx-5563,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,56.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,45.0,45.0
nibrx-5566,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5578,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5584,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5593,dfci-cpdm,pdx,52.0,52.0,52.0,52.0,45.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,33.0,33.0,33.0
nibrx-5594,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5643,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5645,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-5694,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5696,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5700,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
nibrx-5713,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-5717,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5727,dfci-cpdm,pdx,56.0,56.0,56.0,56.0,49.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,37.0,37.0,37.0
nibrx-5739,dfci-cpdm,pdx,62.0,62.0,62.0,62.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5808,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5885,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
nibrx-5931,dfci-cpdm,pdx,56.0,56.0,56.0,56.0,50.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
nibrx-5938,dfci-cpdm,pdx,56.0,56.0,56.0,56.0,50.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
nibrx-5959,dfci-cpdm,pdx,52.0,52.0,52.0,52.0,45.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,33.0,33.0,33.0
nibrx-5974,dfci-cpdm,pdx,66.0,66.0,66.0,66.0,58.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,47.0
nibrx-5975,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,41.0,41.0,41.0
nibrx-6017,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,52.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
nibrx-6030,dfci-cpdm,pdx,58.0,58.0,58.0,58.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nibrx-6047,dfci-cpdm,pdx,60.0,60.0,60.0,60.0,54.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0
nki 06-1967-02,umcu,organoid,,,,,,,,,,,,,,,25.0,25.0,25.0
ocad.36.g1,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocad.93,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocad.96,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocad.97,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.051,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.129,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.170,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.174,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.180,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.200,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.233,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.235,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.236,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.255,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.256,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.285,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.335,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.343,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.347,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.353,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.56,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip.m1,pmlb-organoid,organoid,,,,,,,,26.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0
ocip026,pmlb,pdx,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
ocip027,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ocip028,pmlb,pdx,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
ocip029,pmlb,pdx,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
ocip030,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ocip031,pmlb,pdx,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
ocip032,pmlb,pdx,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
ocip034,pmlb,pdx,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
ocip036,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ocip037,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ocip038,pmlb,pdx,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
ocip039,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ocip040,pmlb,pdx,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
ocip045,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ocip048,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ocip051,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ocip054,pmlb,pdx,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
ocip055,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ocip056,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ocip058,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ocip059,pmlb,pdx,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
